Player;Shipname;Side;dmg total;hits;misses;failedEscapes;crits;heavy;hits;
Happylife;Biene 0098;Verteidiger;2309;2;2;0;1;0;1709;600;
Happylife;Biene 0097;Verteidiger;801;2;1;0;0;0;234;567;
Happylife;Biene 0096;Verteidiger;1465;4;0;0;0;0;422;219;591;233;
Happylife;Biene;Verteidiger;1345;3;0;0;0;0;543;591;211;
Happylife;Biene 0084;Verteidiger;1010;3;0;0;0;0;520;212;278;
Happylife;Biene 0082;Verteidiger;1829;4;0;0;0;0;628;210;513;478;
Happylife;Biene 0081;Verteidiger;2554;2;1;0;1;0;537;2017;
Happylife;Biene 0080;Verteidiger;1170;3;0;0;0;0;507;440;223;
Happylife;Biene 0089;Verteidiger;1571;3;0;0;0;0;472;574;525;
Happylife;Biene 0088;Verteidiger;1712;3;0;0;0;0;555;495;662;
Happylife;Biene 0087;Verteidiger;1756;4;0;0;0;0;501;531;480;244;
Happylife;Biene 0194;Verteidiger;0;0;1;0;0;0;
Happylife;Biene 0193;Verteidiger;1234;3;0;0;0;0;540;234;460;
Happylife;Biene 0072;Verteidiger;879;2;2;0;0;0;496;383;
Happylife;Biene 0192;Verteidiger;1108;2;0;0;0;0;590;518;
Happylife;Biene 0191;Verteidiger;1208;3;0;0;0;0;496;518;194;
Happylife;Biene 0070;Verteidiger;1023;3;0;0;0;0;184;367;472;
Happylife;Biene 0199;Verteidiger;1284;3;0;0;0;0;269;455;560;
Happylife;Biene 0078;Verteidiger;2301;4;0;0;0;0;460;693;500;648;
Happylife;Biene 0077;Verteidiger;770;2;1;0;0;0;482;288;
Happylife;Biene 0198;Verteidiger;1422;4;0;0;0;0;203;466;231;522;
Happylife;Biene 0076;Verteidiger;1662;3;0;0;0;0;611;534;517;
Happylife;Biene 0075;Verteidiger;2128;3;0;0;0;1;527;419;1182;
Happylife;Biene 0196;Verteidiger;689;1;0;0;0;0;689;
Happylife;Biene 0195;Verteidiger;1628;4;0;0;0;0;246;472;435;475;
Happylife;Biene 0 042;Verteidiger;2237;5;0;0;0;0;257;582;216;565;617;
Happylife;Biene 0 045;Verteidiger;816;2;2;0;0;0;228;588;
Happylife;Biene 0 043;Verteidiger;517;1;0;0;0;0;517;
Happylife;Biene 0 044;Verteidiger;0;0;1;0;0;0;
Happylife;Biene 0062;Verteidiger;1271;4;0;0;0;0;168;482;204;417;
Happylife;Biene 0181;Verteidiger;998;3;0;0;0;0;272;509;217;
Happylife;Biene 0180;Verteidiger;634;1;1;0;0;0;634;
Happylife;Biene 0189;Verteidiger;0;0;1;0;0;0;
Happylife;Biene 0068;Verteidiger;0;0;1;0;0;0;
Happylife;Biene 0188;Verteidiger;1120;3;1;0;0;0;246;383;491;
Happylife;Biene 0067;Verteidiger;375;1;0;0;0;0;375;
Happylife;Biene 0065;Verteidiger;1679;3;1;0;0;0;706;455;518;
Happylife;Biene 0064;Verteidiger;1514;3;1;0;0;0;418;491;605;
Happylife;Biene 0185;Verteidiger;683;1;0;0;0;0;683;
Happylife;Biene 0184;Verteidiger;1071;2;1;0;0;0;524;547;
Happylife;Biene 0063;Verteidiger;573;2;0;0;0;0;354;219;
Happylife;Biene 0 038;Verteidiger;771;2;1;0;0;0;552;219;
Happylife;Biene 0 030;Verteidiger;406;1;0;0;0;0;406;
Happylife;Biene 0 031;Verteidiger;1355;3;1;0;0;0;517;546;292;
Happylife;Biene 0 034;Verteidiger;1712;4;0;0;0;0;366;198;496;652;
Happylife;Biene 0 035;Verteidiger;1970;4;0;0;0;1;187;1011;223;549;
Happylife;Biene 0172;Verteidiger;579;1;3;0;0;0;579;
Happylife;Biene 0051;Verteidiger;1425;3;1;0;0;0;561;348;516;
Happylife;Biene 0170;Verteidiger;753;2;1;0;0;0;488;265;
Happylife;Biene 0058;Verteidiger;2010;4;0;0;0;0;428;463;629;490;
Happylife;Biene 0179;Verteidiger;1086;2;1;0;0;0;610;476;
Happylife;Biene 0178;Verteidiger;1146;4;0;0;0;0;317;238;202;389;
Happylife;Biene 0057;Verteidiger;613;1;0;0;0;0;613;
Happylife;Biene 0056;Verteidiger;616;1;0;0;0;0;616;
Happylife;Biene 0177;Verteidiger;243;1;0;0;0;0;2
